YEAR,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,AUTOMATIC_OUTBREAK_ALERT_MONTHS,MAX_CRITICAL_BARANGAYS
2044,Tupi,1206317000,211.388000,0.000000,831.125000,0.029844,0.184000,0,0
2045,Banga,1206302000,365.304000,0.000000,1422.300000,0.215045,0.376000,0,0
2045,City of Koronadal,1206306000,108.112000,0.000000,659.025000,0.065074,0.168000,0,0
2045,Lake Sebu,1206319000,259.048000,0.000000,1051.775000,0.268509,0.408000,0,0
2045,Norala,1206311000,201.332000,0.000000,814.450000,0.139381,0.224000,0,0
2045,Polomolok,1206312000,681.416000,1.000000,2390.425000,0.324029,0.460000,84,0
2045,Santo Niño,1206318000,151.288000,0.000000,596.375000,0.184300,0.340000,0,0
2045,Surallah,1206313000,479.212000,0.000000,1697.925000,0.190706,0.296000,59,0
2045,T'Boli,1206316000,368.660000,0.000000,1467.200000,0.279440,0.424000,0,0
2045,Tampakan,1206314000,207.676000,0.000000,828.700000,0.188929,0.348000,0,0
2045,Tantangan,1206315000,54.488000,0.000000,331.975000,0.084410,0.192000,0,0
2045,Tupi,1206317000,212.432000,0.000000,848.575000,0.032511,0.172000,0,0
2046,Banga,1206302000,357.824000,0.000000,1408.100000,0.209136,0.356000,0,0
2046,City of Koronadal,1206306000,106.352000,0.000000,661.700000,0.063383,0.156000,0,0
2046,Lake Sebu,1206319000,256.588000,0.000000,1050.100000,0.267140,0.392000,0,0
2046,Norala,1206311000,197.108000,0.000000,811.800000,0.134810,0.212000,0,0
2046,Polomolok,1206312000,679.216000,0.000000,2400.525000,0.322333,0.460000,100,0
2046,Santo Niño,1206318000,151.044000,0.000000,608.050000,0.186833,0.312000,0,0
2046,Surallah,1206313000,477.572000,0.000000,1694.525000,0.190294,0.292000,60,0
2046,T'Boli,1206316000,375.452000,0.000000,1505.925000,0.283827,0.428000,0,0
2046,Tampakan,1206314000,205.556000,0.000000,825.350000,0.186119,0.336000,0,0
2046,Tantangan,1206315000,53.064000,0.000000,328.500000,0.082872,0.192000,0,0
2046,Tupi,1206317000,212.620000,0.000000,854.350000,0.032689,0.156000,0,0
2047,Banga,1206302000,361.416000,0.000000,1440.400000,0.213712,0.352000,0,0
2047,City of Koronadal,1206306000,107.188000,0.000000,654.575000,0.064309,0.152000,0,0
2047,Lake Sebu,1206319000,255.740000,0.000000,1051.675000,0.265404,0.384000,0,0
2047,Norala,1206311000,200.172000,0.000000,819.550000,0.140643,0.220000,0,0
2047,Polomolok,1206312000,677.076000,0.000000,2452.750000,0.321174,0.492000,86,0
2047,Santo Niño,1206318000,148.812000,0.000000,610.825000,0.180833,0.304000,0,0
2047,Surallah,1206313000,471.208000,0.000000,1731.050000,0.187784,0.316000,42,0
2047,T'Boli,1206316000,369.424000,0.000000,1501.400000,0.277693,0.400000,0,0
2047,Tampakan,1206314000,202.620000,0.000000,825.800000,0.182238,0.328000,0,0
2047,Tantangan,1206315000,51.584000,0.000000,325.275000,0.079641,0.212000,0,0
2047,Tupi,1206317000,219.168000,0.000000,900.650000,0.037044,0.168000,0,0
2048,Banga,1206302000,359.524000,0.000000,1443.750000,0.211803,0.356000,0,0
2048,City of Koronadal,1206306000,105.492000,0.000000,656.025000,0.063123,0.172000,0,0
2048,Lake Sebu,1206319000,257.028000,0.000000,1079.325000,0.265807,0.380000,0,0
2048,Norala,1206311000,197.140000,0.000000,812.025000,0.136310,0.224000,0,0
